Age,Income,Education,CreditScore,Region,Target_Class
35,50000,12,720,North,1
42,85000,16,780,South,0
28,32000,10,650,North,1
55,120000,18,800,West,0
40,60000,14,750,East,1
25,40000,12,680,West,1
60,95000,16,770,North,0
30,48000,10,690,South,1
50,110000,18,790,East,0
38,55000,14,740,West,1
45,70000,16,760,North,0
22,30000,10,620,South,1
58,130000,18,810,West,0
33,52000,12,710,East,1
48,75000,16,730,North,0
53,105000,18,780,South,0
27,38000,10,640,East,1
62,150000,18,820,West,0
36,58000,14,750,North,1
41,80000,16,770,South,0
29,35000,10,660,West,1
56,125000,18,800,East,0
39,62000,14,730,North,1
46,88000,16,780,South,0
24,31000,10,630,West,1
59,140000,18,810,East,0
34,51000,12,700,North,1
43,83000,16,790,South,0
26,36000,10,670,West,1
54,115000,18,795,East,0
37,57000,14,745,North,1
44,81000,16,765,South,0
23,30500,10,625,West,1
57,135000,18,805,East,0
32,54000,12,715,North,1
47,90000,16,785,South,0
21,30000,10,620,West,1
52,108000,18,788,East,0
31,53000,12,705,North,1
49,92000,16,792,South,0
35,90000,12,810,North,1  
45,45000,16,650,South,0
29,70000,10,750,North,1
58,50000,18,700,West,0
41,35000,14,600,East,1
26,95000,12,800,West,1
62,55000,16,720,North,0
31,80000,10,770,South,1
51,40000,18,630,East,0
39,92000,14,790,West,1
46,42000,16,680,North,0
23,88000,10,755,South,1
59,60000,18,610,West,0
34,81000,12,775,East,1
49,48000,16,690,North,0
54,99000,18,805,South,0
28,40000,10,730,East,1
63,75000,18,705,West,0
37,85000,14,785,North,1
42,53000,16,645,South,0
