Year,Mileage_km,Engine_HP,Doors,Fuel_Type,Make,Transmission,Condition,Target_Price_USD
2019,45000,150,4,Petrol,Honda,Automatic,Good,22500
2022,12000,180,4,Petrol,Toyota,Automatic,Excellent,35000
2015,120000,120,4,Diesel,Ford,Manual,Good,11000
2023,500,250,2,Petrol,BMW,Automatic,New,65000
2018,60000,140,4,Diesel,Honda,Manual,Good,19000
2021,20000,200,4,Petrol,Toyota,Automatic,Excellent,42000
2014,145000,110,4,Diesel,Ford,Manual,Good,9500
2023,100,300,4,Electric,BMW,Automatic,New,75000
2017,80000,130,4,Petrol,Honda,Manual,Good,16000
2020,30000,170,4,Petrol,Toyota,Automatic,Excellent,28000
2016,95000,125,4,Diesel,Ford,Manual,Good,14000
2022,8000,220,2,Petrol,BMW,Automatic,Excellent,55000
2018,70000,150,4,Petrol,Honda,Automatic,Good,20000
2021,15000,190,4,Petrol,Toyota,Automatic,Excellent,38000
2015,110000,115,4,Diesel,Ford,Manual,Good,12500
2023,200,320,4,Electric,BMW,Automatic,New,78000
2019,55000,135,4,Petrol,Honda,Manual,Good,18000
2022,10000,175,4,Petrol,Toyota,Automatic,Excellent,33000
2014,130000,105,4,Diesel,Ford,Manual,Good,10000
2023,800,280,2,Petrol,BMW,Automatic,New,70000
2017,75000,145,4,Diesel,Honda,Manual,Good,17000
2020,35000,165,4,Petrol,Toyota,Automatic,Excellent,26000
2016,105000,130,4,Diesel,Ford,Manual,Good,13000
2022,6000,240,2,Petrol,BMW,Automatic,Excellent,60000
2019,50000,155,4,Petrol,Honda,Automatic,Good,21000
2021,25000,185,4,Petrol,Toyota,Automatic,Excellent,36000
2015,125000,122,4,Diesel,Ford,Manual,Good,10500
2023,300,310,4,Electric,BMW,Automatic,New,77000
2018,65000,142,4,Diesel,Honda,Manual,Good,18500
2020,28000,172,4,Petrol,Toyota,Automatic,Excellent,29000
2016,98000,128,4,Diesel,Ford,Manual,Good,13500
2022,7000,225,2,Petrol,BMW,Automatic,Excellent,57000
2019,48000,152,4,Petrol,Honda,Automatic,Good,21500
2021,18000,195,4,Petrol,Toyota,Automatic,Excellent,39000
2015,115000,118,4,Diesel,Ford,Manual,Good,12000
2023,150,330,4,Electric,BMW,Automatic,New,79000
