Car_Model,Year,Price,Kms_Driven,Fuel_Type,Transmission,Owner_Type,Engine_CC,Max_Power_BHP
Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Manual,First,1248,74
Skoda Rapid 1.5 TDI Ambition,2017,650000,120000,Diesel,Manual,Second,1498,103
Honda City V MT,2019,1035000,35000,Petrol,Manual,First,1497,117
Hyundai Grand i10 Sports,2015,350000,100000,Petrol,Manual,First,1197,82
Volkswagen Polo Highline,2018,775000,45000,Petrol,Manual,First,999,75
Toyota Innova 2.5 G 8 STR,2016,1300000,125000,Diesel,Manual,First,2494,100
Mahindra XUV500 W8 2WD,2017,950000,90000,Diesel,Manual,First,2179,140
Hyundai Verna 1.6 SX,2012,285000,150000,Diesel,Manual,First,1582,126
Ford EcoSport 1.5 Diesel Titanium,2018,875000,38000,Diesel,Manual,First,1498,98
Maruti Alto K10 VXI,2017,310000,40000,Petrol,Manual,Second,998,67
