PSID,Organization,Problem Statement Title,Category,PS Number,Submitted Ideas Count,Theme,Deadline
SIH25001,Ministry of Development of North Eastern Region,Smart Community Health Monitoring and Early Warning System for Water-Borne Diseases in Rural Northeast India,Software,SIH25001,83,MedTech / BioTech / HealthTech,30 September 2025
SIH25008,Government of Punjab,Disaster Preparedness and Response Education System for Schools and Colleges,Software,SIH25008,71,Disaster Management,30 September 2025
SIH25009,Government of Punjab,Gamified Environmental Education Platform for Schools and Colleges,Software,SIH25009,115,Smart Education,30 September 2025
SIH25010,Government of Punjab,Smart Crop Advisory System for Small and Marginal Farmers,Software,SIH25010,143,Agriculture, FoodTech & Rural Development,30 September 2025
SIH25011,Government of Punjab,Smart Curriculum Activity & Attendance App,Software,SIH25011,71,Smart Education,30 September 2025
SIH25012,Government of Punjab,Automated Attendance System for Rural Schools,Software,SIH25012,93,Smart Education,30 September 2025
SIH25016,Government of Punjab,Automated Student Attendance Monitoring and Analytics System for Colleges,Software,SIH25016,125,Smart Education,30 September 2025
SIH25017,Government of Punjab,Digital Platform for Centralized Alumni Data Management and Engagement,Software,SIH25017,63,Smart Education,30 September 2025
SIH25018,Government of Punjab,Telemedicine Access for Rural Healthcare in Nabha,Software,SIH25018,108,MedTech / BioTech / HealthTech,30 September 2025
SIH25019,Government of Punjab,Digital Learning Platform for Rural School Students in Nabha,Software,SIH25019,74,Smart Education,30 September 2025
SIH25022,Ministry of Railways,Maximizing Section Throughput Using AI-Powered Precise Train Traffic Control,Software,SIH25022,62,Transportation & Logistics,30 September 2025
SIH25023,Ministry of Ayush,AyurSutra - Panchakarma Patient Management and Therapy Scheduling Software,Software,SIH25023,50,MedTech / BioTech / HealthTech,30 September 2025
SIH25028,Government of Jharkhand,Smart Classroom & Timetable Scheduler,Software,SIH25028,92,Smart Education,30 September 2025
SIH25030,Government of Jharkhand,AI-Based Crop Recommendation for Farmers,Software,SIH25030,119,Agriculture, FoodTech & Rural Development,30 September 2025
SIH25032,Government of Jharkhand,Dev. of a Smart Digital Platform to Promote Eco & Cultural Tourism in Jharkhand,Software,SIH25032,61,Travel & Tourism,30 September 2025
SIH25044,Government of Odisha,AI-Powered Crop Yield Prediction and Optimization,Software,SIH25044,74,Agriculture, FoodTech & Rural Development,30 September 2025
SIH25048,Government of Odisha,Gamified Learning Platform for Rural Education,Software,SIH25048,100,Smart Education,30 September 2025
SIH25050,Government of Odisha,Smart Traffic Management System for Urban Congestion,Software,SIH25050,95,Transportation & Logistics,30 September 2025
SIH25060,Ministry of Social Justice & Empowerment,Real Life Solutions for Waste Management,Software,SIH25060,86,Clean & Green Technology,30 September 2025
